TI,PY,SO,DI,topic,topic_terms
Systemic Effects Reflected in Specific Biomarker Patterns Are Instrumental for the Paradigm Change in Prostate Cancer Management: A Strategic Paper,2022,CANCERS,10.3390/cancers14030675,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Potential activity of Traditional Chinese Medicine against Ulcerative colitis: A review,2022,JOURNAL OF ETHNOPHARMACOLOGY,10.1016/j.jep.2022.115084,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Probiotic-derived ferrichrome inhibits the growth of refractory pancreatic cancer cells,2020,INTERNATIONAL JOURNAL OF ONCOLOGY,10.3892/ijo.2020.5096,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Probiotics Can Boost the Antitumor Immunity of CD8+T Cells in BALB/c Mice and Patients with Colorectal Carcinoma,2020,JOURNAL OF IMMUNOLOGY RESEARCH,10.1155/2020/4092472,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Vagal blockade of the brain-liver axis deters cancer-associated cachexia,2025,CELL,10.1016/j.cell.2025.07.016,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Quercetin's Potential Therapeutic Role in Human Colorectal Cancer: An Effective Strategy for Prevention and Treatment,2025,ANTI-CANCER AGENTS IN MEDICINAL CHEMISTRY,10.2174/0118715206354948250226103832,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Integrated analysis unraveling the immunologic and clinical prognostic values of synaptotagmin like 4 in pan-cancer,2025,DISCOVER ONCOLOGY,10.1007/s12672-025-02745-3,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
How can we optimize antifungal use and stewardship in the treatment of acute leukemia?,2024,EXPERT REVIEW OF HEMATOLOGY,10.1080/17474086.2024.2383401,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
The activity of miltefosine combined with oral probiotics in a mouse model of cutaneous leishmaniasis,2025,MEMORIAS DO INSTITUTO OSWALDO CRUZ,10.1590/0074-02760250056,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Curcumin in Cancer Prevention: Insights from Clinical Trials and Strategies to Enhance Bioavailability,2024,CURRENT PHARMACEUTICAL DESIGN,10.2174/0113816128303514240517054617,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Recent progress on drug delivery systems of regulating intratumoral bacteria for tumor therapy,2025,CHINESE CHEMICAL LETTERS,10.1016/j.cclet.2025.110907,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Engineered Bio-Heterojunction for Effective Treatment of Colorectal Cancer Through Intratumoral Bacteria Scavenging and Autophagy Regulation,2025,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.202421288,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
"Clinical diagnosis and management of pancreatic cancer: Markers, molecular mechanisms, and treatment options",2022,WORLD JOURNAL OF GASTROENTEROLOGY,10.3748/wjg.v28.i48.6827,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
The Role of MicroRNA in Paediatric Acute Lymphoblastic Leukaemia: Challenges for Diagnosis and Therapy,2019,JOURNAL OF ONCOLOGY,10.1155/2019/8941471,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Association of Antibiotic Receipt With Survival Among Patients With Metastatic Pancreatic Ductal Adenocarcinoma Receiving Chemotherapy,2023,JAMA NETWORK OPEN,10.1001/jamanetworkopen.2023.4254,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Predictors of response to CD19 chimeric antigen receptor T-cell therapy in large B-cell lymphoma: a consolidated review,2025,CURRENT OPINION IN ONCOLOGY,10.1097/CCO.0000000000001188,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Curcumin and Acute Myeloid Leukemia: Synergistic Effects with Targeted Therapy,2025,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms26199700,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
High Levels of Prebiotic Resistant Starch in Diet Modulate Gene Expression and Metabolomic Profile in Pancreatic Cancer Xenograft Mice,2019,NUTRIENTS,10.3390/nu11040709,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Combination of Detoxified Pneumolysin Derivative ΔA146Ply and Berbamine as a Treatment Approach for Breast Cancer,2020,MOLECULAR THERAPY ONCOLYTICS,10.1016/j.omto.2020.06.015,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Research Trend and Detailed Insights into the Molecular Mechanisms of Food Bioactive Compounds against Cancer: A Comprehensive Review with Special Emphasis on Probiotics,2022,CANCERS,10.3390/cancers14225482,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Derivation of a novel antimicrobial peptide from the Red Sea Brine Pools modified to enhance its anticancer activity against U2OS cells,2024,BMC BIOTECHNOLOGY,10.1186/s12896-024-00835-8,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Current advances in microbial-based cancer therapies,2023,MEDICAL ONCOLOGY,10.1007/s12032-023-02074-x,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Antimicrobial peptides as drugs with double response against Mycobacterium tuberculosis coinfections in lung cancer,2023,FRONTIERS IN MICROBIOLOGY,10.3389/fmicb.2023.1183247,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Introducing variability in targeting the microtubules: Review of current mechanisms and future directions in colchicine therapy,2020,PHARMACOLOGY RESEARCH & PERSPECTIVES,10.1002/prp2.616,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Cooperativity between Stenotrophomonas maltophilia and Pseudomonas aeruginosa during Polymicrobial Airway Infections,2020,INFECTION AND IMMUNITY,10.1128/IAI.00855-19,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Dual-Cascade Responsive Nanoparticles Enhance Pancreatic Cancer Therapy by Eliminating Tumor-Resident Intracellular Bacteria,2022,ADVANCED MATERIALS,10.1002/adma.202206765,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Multifaceted roles of OCT4 in tumor microenvironment: biology and therapeutic implications,2025,ONCOGENE,10.1038/s41388-025-03408-x,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"Exploring the human archaeome: its relevance for health and disease, and its complex interplay with the human immune system",2025,FEBS JOURNAL,10.1111/febs.17123,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The impact of keto-adaptation on exercise performance and the role of metabolic-regulating cytokines,2019,AMERICAN JOURNAL OF CLINICAL NUTRITION,10.1093/ajcn/nqz145,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Influence of Klebsiella pneumoniae and quinolone treatment on prognosis in patients with pancreatic cancer,2021,BJS-BRITISH JOURNAL OF SURGERY,10.1002/bjs.12003,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
New and Emerging Treatments for Inflammatory Bowel Disease,2023,DIGESTION,10.1159/000527422,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Intratumoral lactate metabolism in barrett's esophagus and adenocarcinoma,2017,ONCOTARGET,10.18632/oncotarget.15284,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
The multifaceted role of the stroma in the healthy prostate and prostate cancer,2024,JOURNAL OF TRANSLATIONAL MEDICINE,10.1186/s12967-024-05564-2,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Tumor microenvironment is not an 'innocent bystander' in the resistance to treatment of head and neck cancers (Review),2021,EXPERIMENTAL AND THERAPEUTIC MEDICINE,10.3892/etm.2021.10562,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Medical, ethical, and legal aspects of hematopoietic stem cell transplantation for Crohn's disease in Brazil",2020,WORLD JOURNAL OF STEM CELLS,10.4252/wjsc.v12.i10.1113,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Metabolic biomarkers for predicting onset and severity of CAR-T therapy-induced cytokine release syndrome in multiple myeloma,2025,FRONTIERS OF MEDICINE,10.1007/s11684-025-1176-9,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
A Sequential Therapeutic Strategy Based on Aptamer/Polymer-Functionalized PDA/Ag for Precise Acinetobacter Baumannii Imaging and Pneumonia Treatment,2025,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.202425625,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Lipopolysaccharide Induces Resistance to CAR-T Cell Therapy of Colorectal Cancer Cells through TGF-β-Mediated Stemness Enhancement,2025,MOLECULAR PHARMACEUTICS,10.1021/acs.molpharmaceut.4c00264,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Comparison between disk diffusion and agar dilution methods to determine in vitro susceptibility of Corynebacterium spp. clinical isolates and update of their susceptibility,2018,JOURNAL OF GLOBAL ANTIMICROBIAL RESISTANCE,10.1016/j.jgar.2018.05.009,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Antibacterial tellurium-containing polycarbonate drug carriers to eliminate intratumor bacteria for synergetic chemotherapy against colorectal cancer,2024,ACTA BIOMATERIALIA,10.1016/j.actbio.2024.06.042,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Fusobacterium nucleatum-reprogrammed adipocytes promote tumor cisplatin resistance through the CCL2-CCR2 axis in the necrotic metastatic neck nodes of head and neck carcinoma,2025,CELL COMMUNICATION AND SIGNALING,10.1186/s12964-025-02550-z,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Metabolism and epigenetics in cancer: toward personalized treatment,2025,FRONTIERS IN ENDOCRINOLOGY,10.3389/fendo.2025.1530578,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Bioengineered carbohydrate polymers for colon-specific drug release: Current trends and future prospects,2024,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,10.1002/jbm.a.37732,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
"Efficacy and Safety of Synbiotics in Patients Undergoing Autologous Hematopoietic Stem Cell Transplantation: A Randomized, Double-blinded, Placebo-controlled Pilot Study",2023,INTERNAL MEDICINE,10.2169/internalmedicine.1314-22,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
A locus at 7p14.3 predisposes to refractory celiac disease progression from celiac disease,2018,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,10.1097/MEG.0000000000001168,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Pilot Clinical Trial of Perioperative Durvalumab and Tremelimumab in the Treatment of Resectable Colorectal Cancer Liver Metastases,2021,CLINICAL CANCER RESEARCH,10.1158/1078-0432.CCR-21-0163,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Unveiling the predictive power of bacterial response-related genes signature in hepatocellular carcinoma: with bioinformatics analyses and experimental approaches,2024,BIOCELL,10.32604/biocell.2024.055848,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
Oral Delivery of a GI-Stable Apigenin-Cyclodextrin Complex via Pectin-Coated Nanoliposomes In Situ Gel: A DoE-Optimized Targeted Colon Cancer Therapy by Modulating Gut Drug Sensitivity,2025,GELS,10.3390/gels11110873,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
The prospect and underlying mechanisms of Chinese medicine in treating periodontitis,2025,CHINESE JOURNAL OF NATURAL MEDICINES,10.1016/S1875-5364(25)60842-9,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
"Nuclear receptors in metabolic, inflammatory, and oncologic diseases: mechanisms, therapeutic advances, and future directions",2025,EUROPEAN JOURNAL OF MEDICAL RESEARCH,10.1186/s40001-025-03073-6,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Glucagon-like peptide 2 for intestinal stem cell and Paneth cell repair during graft-versus-host disease in mice and humans,2020,BLOOD,10.1182/blood.2020005957,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
Uveitis in spondyloarthritis,2020,THERAPEUTIC ADVANCES IN MUSCULOSKELETAL DISEASE,10.1177/1759720X20951733,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Oral vancomycin induces sustained deep remission in adult patients with ulcerative colitis and primary sclerosing cholangitis,2018,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,10.1097/MEG.0000000000001223,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
The EPICURE study: a pilot prospective cohort study of heterogeneous and massive data integration in metastatic breast cancer patients,2021,BMC CANCER,10.1186/s12885-021-08060-8,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Feline chronic gingivostomatitis current concepts in clinical management,2023,JOURNAL OF FELINE MEDICINE AND SURGERY,10.1177/1098612X231186834,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Immunotherapy With Egg Yolk Eimeria sp.-Specific Immunoglobulins in SPF Leghorn Chicks Elicits Successful Protection Against Eimeria tenella Infection,2021,FRONTIERS IN VETERINARY SCIENCE,10.3389/fvets.2021.758379,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
The influence of cytokines on the complex pathology of ulcerative colitis,2022,AUTOIMMUNITY REVIEWS,10.1016/j.autrev.2021.103017,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Subversion of Niche-Signalling Pathways in Colorectal Cancer: What Makes and Breaks the Intestinal Stem Cell,2021,CANCERS,10.3390/cancers13051000,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Association of bacteriomes with drug susceptibility in lesions of pulmonary tuberculosis patients,2024,HELIYON,10.1016/j.heliyon.2024.e37583,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
One year in review 2016: Belicet's syndrome,2016,CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Colonization with extended-spectrum β-lactamase and carbapenemase-producing Enterobacterales in Ethiopia: A systematic review and meta-analysis,2025,PLOS ONE,10.1371/journal.pone.0316492,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Flared inflammatory episode transforms advanced myelodysplastic syndrome into aplastic pancytopenia: A case report and literature review,2023,WORLD JOURNAL OF CLINICAL CASES,10.12998/wjcc.v11.i17.4105,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Helminth Regulation of Immunity: A Three-pronged Approach to Treat Colitis,2016,INFLAMMATORY BOWEL DISEASES,10.1097/MIB.0000000000000889,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Zoonotic Diseases and Phytochemical Medicines for Microbial Infections in Veterinary Science: Current State and Future Perspective,2018,FRONTIERS IN VETERINARY SCIENCE,10.3389/fvets.2018.00166,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Microbiota-derived tryptophan metabolites indole-3-lactic acid is associated with intestinal ischemia/reperfusion injury via positive regulation of YAP and Nrf2,2023,JOURNAL OF TRANSLATIONAL MEDICINE,10.1186/s12967-023-04109-3,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Immune features of the peritumoral stroma in pancreatic ductal adenocarcinoma,2022,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2022.947407,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Case Report: Initial Successful Treatment of Migraine and Irritable Bowel Syndrome With a Low-FODMAP Diet,2024,JOURNAL OF THE AMERICAN NUTRITION ASSOCIATION,10.1080/27697061.2023.2288081,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
From crisis to recovery: A case report on nursing strategies for hepatitis E post-cardiac arrest,2025,MEDICINE,10.1097/MD.0000000000044325,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Inhibition of Bromodomain and Extra Terminal (BET) Domain Activity Modulates the IL-23R/IL-17 Axis and Suppresses Acute Graft-Versus-Host Disease,2021,FRONTIERS IN ONCOLOGY,10.3389/fonc.2021.760789,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
Modulation of the Host Cell Transcriptome and Epigenome by Fusobacterium nucleatum,2021,MBIO,10.1128/mBio.02062-21,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Duration of Inflammatory Bowel Disease Is Associated With Increased Risk of Cholangiocarcinoma in Patients With Primary Sclerosing Cholangitis and IBD,2016,AMERICAN JOURNAL OF GASTROENTEROLOGY,10.1038/ajg.2016.55,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Preoperative oral antibiotic prophylaxis reduces Pseudomonas aeruginosa surgical site infections after elective colorectal surgery: a multicenter prospective cohort study,2018,BMC INFECTIOUS DISEASES,10.1186/s12879-018-3413-1,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
A comprehensive review and update on Crohn's disease,2018,DM DISEASE-A-MONTH,10.1016/j.disamonth.2017.07.001,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Therapeutic potentials of plant‑based antioxidants on colorectal cancer: Challenges and perspectives (Review),2025,International Journal of Oncology,10.3892/ijo.2025.5813,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
A pH-Responsive Theranostic Nanoprobe for Ultrasonic-Triggered Eradication of Helicobacter pylori In Vivo Under Magnetic Resonance Imaging Guiding,2025,Advanced Healthcare Materials,10.1002/adhm.202500641,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Primary Prevention of Clostridioides difficile Infection With Oral Vancomycin in Pediatric Hematopoietic Stem Cell Transplant Patients,2025,Pediatric Transplantation,10.1111/petr.70246,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Neuronal ALKAL2 and its ALK receptor contribute to the development of colitis-associated colorectal cancer,2025,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2500632122,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Deciphering cGAS-STING signaling: implications for tumor immunity and hepatocellular carcinoma,2025,Naunyn-Schmiedeberg's Archives of Pharmacology,10.1007/s00210-025-04240-6,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
Targeting RGMb interactions: Discovery and preclinical characterization of potent anti-RGMb antibodies blocking multiple ligand bindings,2024,mAbs,10.1080/19420862.2024.2432403,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Big lessons from the little Akkermansia muciniphila in hepatocellular carcinoma,2025,Frontiers in Immunology,10.3389/fimmu.2025.1524563,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
Gut bacteria and the host synergies promote resveratrol metabolism and induce tolerance in ALD mice,2025,npj Biofilms and Microbiomes,10.1038/s41522-025-00766-y,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Microbiota profiling from biopsied tissues in complex infections: a diagnostic and prognostic analysis through metagenomic next-generation sequencing,2025,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2025.1567981,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Metabolic targeting of regulatory T cells in oral squamous cell carcinoma: new horizons in immunotherapy,2024,Molecular Cancer,10.1186/s12943-024-02193-7,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Faecal Microbiota Transplantation as an Adjuvant Treatment for Extraintestinal Disorders: Translating Insights from Human Medicine to Veterinary Practice,2025,Veterinary Sciences,10.3390/vetsci12060541,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Treatment of immune checkpoint inhibitor-related colitis: a narrative review,2024,Translational Cancer Research,10.21037/tcr-24-2150,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Interplay and therapeutic implications of colorectal cancer stem cells, tumor microenvironment, and gut microbiota",2024,World Journal of Stem Cells,10.4252/wjsc.v16.i12.1110,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
The Kidney–Gut Axis as a Novel Target for Nutritional Intervention to Counteract Chronic Kidney Disease Progression,2024,Metabolites,10.3390/metabo14010078,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Multicenter study on Clostridioides difficile infections in Mexico: Exploring the landscape,2024,Infection Control and Hospital Epidemiology,10.1017/ice.2024.153,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
"Safety and efficacy of oral cancer vaccine B440 in patients with PD-1/PD-L1 inhibitor-resistant advanced urothelial cancer: a study protocol for a phase 1 multicenter, open-label, single-arm clinical trial",2025,BMC Cancer,10.1186/s12885-025-13514-4,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Targeting bacterial metabolites in tumor for cancer therapy: An alternative approach for targeting tumor-associated bacteria,2024,Advanced Drug Delivery Reviews,10.1016/j.addr.2024.115345,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Threading the Needle: Navigating Novel Immunotherapeutics in Pancreatic Ductal Adenocarcinoma,2025,Cancers,10.3390/cancers17050715,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Gut Faecalibacterium abundance in patients with plasma cell disorders is associated with survival after autologous HSCT,2025,Blood Neoplasia,10.1016/j.bneo.2025.100114,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"Resistance to immunotherapy in non-small cell lung cancer: Unraveling causes, developing effective strategies, and exploring potential breakthroughs",2025,Drug Resistance Updates,10.1016/j.drup.2025.101215,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Investigational Approaches for Treatment of Melanoma Patients Progressing after Standard of Care,2024,Cancer Journal (United States),10.1097/PPO.0000000000000702,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Evaluation of the potential impact on pharmacokinetics of various cytochrome P450 substrates of increasing IL-6 levels following administration of the T-cell bispecific engager glofitamab,2024,CPT: Pharmacometrics and Systems Pharmacology,10.1002/psp4.13091,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Influence of Citrobacter freundii on NINJ2 Expression and Oxaliplatin Resistance in Colorectal Cancer,2025,Cancer Medicine,10.1002/cam4.70940,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Improving breast cancer treatments using pharmacomicrobiomics,2025,mBio,10.1128/mbio.03422-24,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Cell fate regulation governed by p53: Friends or reversible foes in cancer therapy,2024,Cancer Communications,10.1002/cac2.12520,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"Antibiotic treatment and survival in patients with resected, early-stage pancreatic ductal adenocarcinoma receiving chemotherapy",2025,JNCI Cancer Spectrum,10.1093/jncics/pkaf024,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Gastrointestinal Environment Intelligent-Responsive Nanozyme for the Treatment of Multidrug-Resistant Helicobacter pylori Infection,2025,Small,10.1002/smll.202505845,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Harnessing the power of Calculus bovis: Anti-cancer properties and Wnt pathway modulation in hepatocellular carcinoma,2024,World Journal of Gastroenterology,10.3748/wjg.v30.i41.4496,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
Laboratory-simulated marine heatwave enhances physiological damage to mussels exposed to titanium dioxide nanoparticles by disrupting the gut−hepatopancreas axis,2025,Journal of Hazardous Materials,10.1016/j.jhazmat.2024.137006,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"Anti-bacterial and anti-inflammatory properties of ethanol extract of Melicope pteleifolia, an ethnomedicine in Southwest China",2024,Pharmacological Research - Modern Chinese Medicine,10.1016/j.prmcm.2024.100360,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
"Tumor microbiome: roles in tumor initiation, progression, and therapy",2025,Molecular Biomedicine,10.1186/s43556-025-00248-9,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Microplastics: An emerging environmental risk factor for gut microbiota dysbiosis and cancer development?,2025,Environmental Chemistry and Ecotoxicology,10.1016/j.enceco.2025.03.005,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Pulmonary microbiome and metabolome signatures associate with chemotherapy response in lung cancer patients,2025,Frontiers in Microbiology,10.3389/fmicb.2025.1604999,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Oral Capsule FMT Combined With Bezlotoxumab Is a Successful Rescue Protocol Following Failure of FMT Alone in the Treatment of Recurrent C. difficile Infection,2025,Journal of Clinical Gastroenterology,10.1097/MCG.0000000000002108,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
"An updated review on immune checkpoint inhibitor-induced colitis: epidemiology, pathogenesis, treatment strategies, and the role of traditional Chinese medicine",2025,Frontiers in Immunology,10.3389/fimmu.2025.1551445,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
